,lat,lon
0,49.05884116085834,-123.37299578573025
1,49.05522604883512,-123.36940075312721
2,49.05224718659255,-123.36620255303251
3,49.04974786179728,-123.36353711983976
4,49.04624962484638,-123.36108256220238
5,49.042700678979024,-123.35401012762802
6,49.03942185266945,-123.3521681783653
7,49.03669105141494,-123.34574351160693
8,49.03274035106897,-123.34357635778504
9,49.0294623367899,-123.33695572492795
10,49.02677460181183,-123.33171811505076
11,49.023200855577656,-123.32688483295657
12,49.01983322179119,-123.32227776450681
13,49.01762598914372,-123.3173540525612
14,49.014344172651235,-123.31172661889461
15,49.010396968813076,-123.3064269847509
16,49.00744357566833,-123.3007631868384
17,49.004313838158716,-123.294878701164
18,49.001403205584815,-123.29097825060008
19,48.997552279904156,-123.2875181329406
20,48.99534135012958,-123.2813887823201
21,48.99199370184673,-123.2776587420962
22,48.98818071232041,-123.27295503441758
23,48.98566812754472,-123.2660575050311
24,48.982115661286315,-123.26202505885777
25,48.978957144460416,-123.25596757946428
26,48.975883112243146,-123.2516405817406
27,48.97237548439834,-123.24508777706441
28,48.96932126572529,-123.238639709294
29,48.9656822083556,-123.23374729909814
30,48.96300341526634,-123.23124670402424
31,48.96022751288248,-123.22247675772078
32,48.9558248315831,-123.21992695101368
33,48.953164562342565,-123.21500747905341
34,48.949609960921606,-123.21068227695194
35,48.94677213882373,-123.20469564933545
36,48.94403977560467,-123.20088499146667
37,48.93995112082991,-123.19417170450356
38,48.936766518718336,-123.18811209353275
39,48.93403269384437,-123.1830075218843
40,48.93055684982869,-123.17871440928943
41,48.92657142323719,-123.1776238757905
42,48.92331382913689,-123.16748090406823
43,48.921357862609625,-123.16317377403544
44,48.91858424346447,-123.1585770043479
45,48.915277101173665,-123.15141768482792
46,48.91279185794261,-123.14995931522317
47,48.90955028950307,-123.13932033472327
48,48.90677754448487,-123.13881199986803
49,48.90408168920179,-123.12987886046734
